user_id,touch_date,channel,campaign_id,conversion_date,revenue,spend
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,316
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,364
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,379
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,390
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,419
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,422
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,433
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,460
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,489
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,490
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,506
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,516
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,601
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,630
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,635
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,669
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,672
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,695
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,696
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,752
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,755
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,759
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,770
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,850
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,859
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,862
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,880
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,916
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,948
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,975
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,981
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1008
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1040
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1047
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1050
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1053
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1091
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1153
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1168
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1194
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1272
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1308
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1320
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1351
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1359
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1430
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1491
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1509
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1514
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1519
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1591
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1596
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1663
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1688
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1716
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1743
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1785
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1804
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1815
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1822
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1829
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1829
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1855
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1879
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1889
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1931
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1964
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,1986
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2005
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2007
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2051
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2085
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2116
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2119
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2143
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2184
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2206
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2219
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2231
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2255
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2255
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2269
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2336
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2368
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2382
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2388
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2443
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2491
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2491
U1000,2025-01-30,Facebook,F001,2025-03-09,412.0,2499
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,321
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,334
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,398
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,414
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,502
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,534
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,555
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,564
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,568
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,692
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,703
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,802
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,804
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,810
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,815
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,824
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,839
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,840
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,863
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,863
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,925
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,939
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,941
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,946
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,952
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,956
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,959
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,967
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,1002
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,1028
U1000,2025-01-31,Google Ads,G002,2025-03-09,412.0,1053
